sentence_id,span_start,span_end,span_tokens,category,failure_mode,notes,context
# failure_mode values:,complete_miss | partial_span | boundary_shift | wrong_token,,,,,,
3631,24,24,podem,ortografia_lexical,,,"Com a chegada de visitantes de todos os países , a incapacidade de julgamento e punição que as leis Brasileiras brasileiras apresentam às autoridades podem pode facilitar ataques de terroristas que saibam quão fácil é livrar-se de um julgamento no Brasil ."
3398,5,5,esta,ortografia_lexical,,,"O que se esperar com esta essa decisão , não só a diminuição da criminalidade , mas sim alternativas que tragam beneficiou benefícios aos lares e a à infância de milhares de crianças que vivem hoje em função do crime organizado ."
442,40,41,se tem,concordancia_verbal,,,"No caso do excesso de cuidado e amor temos famílias e até pessoas que vivem sozinhas e tratam seus animais de estimação melhores que melhor do que tratam uma pessoa , são capazes de adquirir coisas e dar o que se tem têm de melhor a um animal , porém são incapazes de estender a mão para ajudar outro ser humano , levados na maioria das vezes a este comportamento por desacreditar da humanidade ."
1086,3,3,provou,ortografia_lexical,,,"Não que ele provou tenha provado do seu ""próprio veneno"" , porém nem tudo que pensamos deve ser dito ."
1947,11,15,se haver uma estabilidade no,concordancia_verbal,,,Aliados comerciais vêm contribuindo com bilhões de dólares na tentativa de se haver uma estabilidade no estabilizar o euro .
2225,7,7,na,sintatico_discursivo,,,"Diante disso , é preciso ir direto na à raíz do problema : a qualidade do ensino ."
2679,0,54,"Falta ainda as nações definitivamente admitir que uma raça é superior á outra , pela capacidade que ela tem de tolerância , de humildade , de condições iguais para seu povo crescer com dignidade , com os mesmos direitos , de educação , lazer , cultura , liberdade de expressão e trabalho independente das raças",concordancia_verbal,,,"Falta ainda as nações definitivamente admitir que uma raça é superior á outra , pela capacidade que ela tem de tolerância , de humildade , de condições iguais para seu povo crescer com dignidade , com os mesmos direitos , de educação , lazer , cultura , liberdade de expressão e trabalho independente das raças ."
2416,10,10,produtos,sintatico_discursivo,,,"Além disso disso , se não houvesse esse cruzamento desses produtos produtos , seria muito ruim para os Países países que tem têm uma grande quantidade quantidade , talvez até a maioria dos produtos transgênicos comercializados comercializados , porque não haveria como produzir essa quantidade necessária para o comercio comércio ."
38,18,18,comunicações,ortografia_acento,,,"Relatos de falta de água ou presença dela polúida poluída , cada vez mais lotam os meios de comunicações comunicação ."
2546,26,27,"propagandas ,",ortografia_lexical,,,"O governo brasileiro deve aumentar o incentivo para que as pessoas adotem cada vez mais as bicicletas como meio de transporte , através por meio de propagandas , propaganda e da criação de estacionamentos para elas , e aumentar ainda mais as ciclovias ."
610,5,7,mercado no deparamos,sintatico_discursivo,,,"Cada vez que vamos ao mercado no deparamos mercado , deparamo-nos com uma imensa variedade de legumes , frutas legumes e frutas de aparência impecável ."
608,3,3,sobre,ortografia_lexical,,,Estariam de fato sobre sob influência de quem ?
3490,7,7,ele,ortografia_lexical,,,Uma vez que a situação em que ele se encontra é lastimável .
1576,0,15,"Vai se esperar o quê de uma geração-aglotóxico , sem falar nos "" homens-bombas "" .",concordancia_verbal,,,"Vai se esperar o quê de uma geração-aglotóxico , sem falar nos "" homens-bombas "" ."
1424,8,8,Européia,ortografia_acento,,,"O FMI , juntamente com a própria União Européia Europeia , sob a liderança de Alemanha e França , tentam acabar essa com essa crise ."
